     525       300       600
     604       148       526
     301       478       480
     477       306       482
     481         5       480
     479       303       477
     351       479       482
     307       481       478
     484       316       486
     318       483       488
      15       487       486
      99       485       483
     485        33       488
     487       319       484
     322       611       490
     324       489       492
     505       492       615
     491       325       490
     494       327       499
     444       493       495
     624       579       494
     329       497       499
     496       332       498
     500       621       497
     493       496       622
     501       498       503
     617       500       502
     159       501       508
     500       335       509
     333       505       509
     504       491       506
     528       507       505
     506       537       508
     507       502       509
     503       504       508
     564       513       511
     336       569       510
     630       337       513
     510       515       512
     515        11       629
     113       514       513
     517       364       522
     727       516       518
     519       365       517
     520       144       518
     285       519       521
     522       286       520
     362       521       516
     526       532       613
     146       525       612
     524       475       526
     476       523       525
     535       528       634
     527       506       616
     366       637       530
     531       591       529
     148       530       532
     523       531       638
     368       534       538
     533       541       650
     537       527       536
     535       370       538
     507       535       539
     536       533       540
     540       159       537
     649       539       538
     534       542       544
     541       372       546
     149       544       545
     543       371       541
     546       150       543
     375       545       542
     728       548       549
     547       396       553
     551       185       547
     552       554       551
     187       549       550
     403       550       553
     398       552       548
     550       555       558
     554       407       556
     562       557       555
     556       570       559
     559       186       554
     425       558       557
     176       563       561
     408       560       562
     565       556       561
     560       113       564
     563       510       565
     571       562       564
     203       567       568
     566       426       570
     569       202       566
     511       568       571
     557       571       567
     570       565       569
     654       432       574
     437       666       574
     572       438       573
     576       620       647
     443       575       640
     583       449       578
     577       445       579
     495       580       578
     579       448       584
     446       582       584
     232       653       581
     652       577       584
     580       581       583
     236       587       663
     588       452       661
     585        53       588
     587       242       586
     591       466       658
     592       367       591
     530       589       590
     268       590       656
     594       149       596
     471       593       595
     597       472       594
     150       598       593
     598        87       595
      85       597       596
     600       605       602
     475       599       604
     602       360       603
     474       601       599
     467       604       601
     603       476       600
     599       607       610
     297       608       607
     605       300       606
     606       294       609
     290       610       608
     609       473       605
     489       612       615
     611       524       613
     523       614       612
     613       636       616
     616       491       611
     528       615       614
     623       501       618
     617       440       620
     620       439       626
     575       619       618
     498       623       622
     624       499       621
     621       617       626
     625       495       622
     448       624       626
     619       625       623
     628         9       631
      10       627       629
     514       628       630
     632       512       629
     627       328       632
     330       630       631
     370       634       635
     633       527       636
     637       152       633
     614       638       634
     529       635       638
     636       532       637
     646       641       640
     644       576       639
     639        46       642
     641       217       643
     218       644       642
     643       441       640
     371       646       650
     645       639       647
     575       648       646
     440       649       647
     648       540       650
     534       645       649
     451       652       662
     651       583       653
     582       654       652
     653       572       664
     657       270       656
     655       592       658
     659        63       655
     589       660       656
      60       657       660
     468       659       658
     586       662       663
     661       651       664
     665       585       661
     654       666       662
     666       234       663
     573       665       664
       2        -1        -1
       6        -1        -1
      28        -1        -1
      29        -1        -1
      43        -1        -1
      48        -1        -1
      49        -1        -1
